subj_idx,bias_source,bias_direction,addition_length,quantiles,boundary,value,p,experiment,model_name
S003,mullerlyer,short,50,0.1,q_lower,0.3958079601674408,0.49926666666666786,add_len,dczBDAL_sV
S003,mullerlyer,short,50,0.3,q_lower,0.5117601029806554,0.49926666666666786,add_len,dczBDAL_sV
S003,mullerlyer,short,50,0.5,q_lower,0.6589830050626171,0.49926666666666786,add_len,dczBDAL_sV
S003,mullerlyer,short,50,0.7,q_lower,0.8937422200104911,0.49926666666666786,add_len,dczBDAL_sV
S003,mullerlyer,short,50,0.9,q_lower,1.459379827049165,0.49926666666666786,add_len,dczBDAL_sV
S003,mullerlyer,short,60,0.1,q_lower,0.404894943556165,0.45304697986577147,add_len,dczBDAL_sV
S003,mullerlyer,short,60,0.3,q_lower,0.5285044687359001,0.45304697986577147,add_len,dczBDAL_sV
S003,mullerlyer,short,60,0.5,q_lower,0.6821979302254008,0.45304697986577147,add_len,dczBDAL_sV
S003,mullerlyer,short,60,0.7,q_lower,0.9301702457656695,0.45304697986577147,add_len,dczBDAL_sV
S003,mullerlyer,short,60,0.9,q_lower,1.516689291687715,0.45304697986577147,add_len,dczBDAL_sV
S004,mullerlyer,long,30,0.1,q_lower,0.33438968238608857,0.17613333333333447,add_len,dczBDAL_sV
S004,mullerlyer,long,30,0.3,q_lower,0.45001986225310964,0.17613333333333447,add_len,dczBDAL_sV
S004,mullerlyer,long,30,0.5,q_lower,0.5953196283012104,0.17613333333333447,add_len,dczBDAL_sV
S004,mullerlyer,long,30,0.7,q_lower,0.8147280220647234,0.17613333333333447,add_len,dczBDAL_sV
S004,mullerlyer,long,30,0.9,q_lower,1.2815597554035327,0.17613333333333447,add_len,dczBDAL_sV
S004,mullerlyer,long,40,0.1,q_lower,0.375579743958676,0.1744266666666665,add_len,dczBDAL_sV
S004,mullerlyer,long,40,0.3,q_lower,0.511317896348808,0.1744266666666665,add_len,dczBDAL_sV
S004,mullerlyer,long,40,0.5,q_lower,0.6651720560895968,0.1744266666666665,add_len,dczBDAL_sV
S004,mullerlyer,long,40,0.7,q_lower,0.8923572759287742,0.1744266666666665,add_len,dczBDAL_sV
S004,mullerlyer,long,40,0.9,q_lower,1.3751991257192382,0.1744266666666665,add_len,dczBDAL_sV
S004,mullerlyer,long,50,0.1,q_lower,0.3206148605593876,0.12781333333333295,add_len,dczBDAL_sV
S004,mullerlyer,long,50,0.3,q_lower,0.4337229983847823,0.12781333333333295,add_len,dczBDAL_sV
S004,mullerlyer,long,50,0.5,q_lower,0.5762140985440078,0.12781333333333295,add_len,dczBDAL_sV
S004,mullerlyer,long,50,0.7,q_lower,0.7847468912573444,0.12781333333333295,add_len,dczBDAL_sV
S004,mullerlyer,long,50,0.9,q_lower,1.2519904596031701,0.12781333333333295,add_len,dczBDAL_sV
S004,mullerlyer,long,60,0.1,q_lower,0.3661707319099162,0.1041333333333336,add_len,dczBDAL_sV
S004,mullerlyer,long,60,0.3,q_lower,0.49570504177055297,0.1041333333333336,add_len,dczBDAL_sV
S004,mullerlyer,long,60,0.5,q_lower,0.6455517806251115,0.1041333333333336,add_len,dczBDAL_sV
S004,mullerlyer,long,60,0.7,q_lower,0.8728031230859958,0.1041333333333336,add_len,dczBDAL_sV
S004,mullerlyer,long,60,0.9,q_lower,1.3745275015263518,0.1041333333333336,add_len,dczBDAL_sV
S004,mullerlyer,short,30,0.1,q_lower,0.3299168455214987,0.24277333333333337,add_len,dczBDAL_sV
S004,mullerlyer,short,30,0.3,q_lower,0.44771573699564216,0.24277333333333337,add_len,dczBDAL_sV
S004,mullerlyer,short,30,0.5,q_lower,0.5906468602157563,0.24277333333333337,add_len,dczBDAL_sV
S004,mullerlyer,short,30,0.7,q_lower,0.8011470518083239,0.24277333333333337,add_len,dczBDAL_sV
