subj_idx,bias_source,bias_direction,quantiles,boundary,value,p,experiment,model_name
S003,payoff,short,0.1,q_lower,0.3484540881338915,0.6105631399317434,exp2,atvBS_dczBSBD_sV
S003,payoff,short,0.3,q_lower,0.4942565388494579,0.6105631399317434,exp2,atvBS_dczBSBD_sV
S003,payoff,short,0.5,q_lower,0.6765725715892419,0.6105631399317434,exp2,atvBS_dczBSBD_sV
S003,payoff,short,0.7,q_lower,0.9785063952774097,0.6105631399317434,exp2,atvBS_dczBSBD_sV
S003,payoff,short,0.9,q_lower,1.7273233760759739,0.6105631399317434,exp2,atvBS_dczBSBD_sV
S004,payoff,long,0.1,q_lower,0.4542962035283049,0.43883000000000255,exp2,atvBS_dczBSBD_sV
S004,payoff,long,0.3,q_lower,0.5582249818674577,0.43883000000000255,exp2,atvBS_dczBSBD_sV
S004,payoff,long,0.5,q_lower,0.6811342583130621,0.43883000000000255,exp2,atvBS_dczBSBD_sV
S004,payoff,long,0.7,q_lower,0.8690539175808475,0.43883000000000255,exp2,atvBS_dczBSBD_sV
S004,payoff,long,0.9,q_lower,1.3173174455742946,0.43883000000000255,exp2,atvBS_dczBSBD_sV
S004,payoff,short,0.1,q_lower,0.41139318612684705,0.5647712854757919,exp2,atvBS_dczBSBD_sV
S004,payoff,short,0.3,q_lower,0.48609965796949567,0.5647712854757919,exp2,atvBS_dczBSBD_sV
S004,payoff,short,0.5,q_lower,0.5764711230849984,0.5647712854757919,exp2,atvBS_dczBSBD_sV
S004,payoff,short,0.7,q_lower,0.7241029843200691,0.5647712854757919,exp2,atvBS_dczBSBD_sV
S004,payoff,short,0.9,q_lower,1.1203328874851897,0.5647712854757919,exp2,atvBS_dczBSBD_sV
S005,payoff,long,0.1,q_lower,0.33034849733219135,0.1498193979933116,exp2,atvBS_dczBSBD_sV
S005,payoff,long,0.3,q_lower,0.45968953861835643,0.1498193979933116,exp2,atvBS_dczBSBD_sV
S005,payoff,long,0.5,q_lower,0.6311500926834953,0.1498193979933116,exp2,atvBS_dczBSBD_sV
S005,payoff,long,0.7,q_lower,0.914029996479687,0.1498193979933116,exp2,atvBS_dczBSBD_sV
S005,payoff,long,0.9,q_lower,1.5927950270625049,0.1498193979933116,exp2,atvBS_dczBSBD_sV
S005,payoff,short,0.1,q_lower,0.2965128826955842,0.6275083612040128,exp2,atvBS_dczBSBD_sV
S005,payoff,short,0.3,q_lower,0.3955408488199061,0.6275083612040128,exp2,atvBS_dczBSBD_sV
S005,payoff,short,0.5,q_lower,0.526493494602999,0.6275083612040128,exp2,atvBS_dczBSBD_sV
S005,payoff,short,0.7,q_lower,0.7559545250870258,0.6275083612040128,exp2,atvBS_dczBSBD_sV
S005,payoff,short,0.9,q_lower,1.3639096734787468,0.6275083612040128,exp2,atvBS_dczBSBD_sV
S006,payoff,long,0.1,q_lower,0.3090722391534734,0.49741275167785204,exp2,atvBS_dczBSBD_sV
S006,payoff,long,0.3,q_lower,0.3769610941506549,0.49741275167785204,exp2,atvBS_dczBSBD_sV
S006,payoff,long,0.5,q_lower,0.45670563886316223,0.49741275167785204,exp2,atvBS_dczBSBD_sV
S006,payoff,long,0.7,q_lower,0.5840040743225845,0.49741275167785204,exp2,atvBS_dczBSBD_sV
S006,payoff,long,0.9,q_lower,0.9235867862282903,0.49741275167785204,exp2,atvBS_dczBSBD_sV
S006,payoff,short,0.1,q_lower,0.31546753664840843,0.5001976549413777,exp2,atvBS_dczBSBD_sV
S006,payoff,short,0.3,q_lower,0.38310115134699785,0.5001976549413777,exp2,atvBS_dczBSBD_sV
S006,payoff,short,0.5,q_lower,0.4624814763643835,0.5001976549413777,exp2,atvBS_dczBSBD_sV
S006,payoff,short,0.7,q_lower,0.5880272556007424,0.5001976549413777,exp2,atvBS_dczBSBD_sV
S006,payoff,short,0.9,q_lower,0.9132296257354858,0.5001976549413777,exp2,atvBS_dczBSBD_sV
S007,payoff,long,0.1,q_lower,0.3241647688124794,0.5217199999999959,exp2,atvBS_dczBSBD_sV
S007,payoff,long,0.3,q_lower,0.43136952263532613,0.5217199999999959,exp2,atvBS_dczBSBD_sV
S007,payoff,long,0.5,q_lower,0.5559711824386271,0.5217199999999959,exp2,atvBS_dczBSBD_sV
S007,payoff,long,0.7,q_lower,0.7451243815192741,0.5217199999999959,exp2,atvBS_dczBSBD_sV
S007,payoff,long,0.9,q_lower,1.1684566789313675,0.5217199999999959,exp2,atvBS_dczBSBD_sV
S007,payoff,short,0.1,q_lower,0.30429816801788656,0.551752508361202,exp2,atvBS_dczBSBD_sV
S007,payoff,short,0.3,q_lower,0.4031934472966941,0.551752508361202,exp2,atvBS_dczBSBD_sV
S007,payoff,short,0.5,q_lower,0.5246583807886805,0.551752508361202,exp2,atvBS_dczBSBD_sV
S007,payoff,short,0.7,q_lower,0.7120679056307126,0.551752508361202,exp2,atvBS_dczBSBD_sV
