subj_idx,bias_source,bias_direction,addition_length,stim,response,rt
S001,mullerlyer,short,50,1,0,0.8750272999996014
S001,mullerlyer,short,50,0,1,0.38593780000064726
S001,mullerlyer,short,50,0,0,0.8205858999999691
S001,mullerlyer,short,50,0,1,0.9428123000006964
S001,mullerlyer,short,50,0,1,0.5743136999999479
S001,mullerlyer,short,50,1,1,0.5672406999992745
S001,mullerlyer,short,50,1,1,1.0091628000000128
S001,mullerlyer,short,50,0,0,1.3163368000004994
S001,mullerlyer,short,50,1,1,0.958364399999482
S001,mullerlyer,short,50,1,1,1.3048908000000663
S001,mullerlyer,short,50,1,1,0.44483840000066266
S001,mullerlyer,short,50,1,1,0.4458286000008229
S001,mullerlyer,short,50,0,0,0.8329519999997501
S001,mullerlyer,short,50,0,0,0.9942886999997428
S001,mullerlyer,short,50,0,0,0.7954896999999619
S001,mullerlyer,short,50,0,0,0.7723344000005454
S001,mullerlyer,short,50,0,0,0.59463919999961945
S001,mullerlyer,short,50,0,0,0.8723817000000054
S001,mullerlyer,short,50,1,1,0.6226659000003565
S001,mullerlyer,short,50,0,0,0.5584772999991401
S001,mullerlyer,short,50,0,0,0.7487240999998903
S001,mullerlyer,short,50,0,0,0.8818053000004511
S001,mullerlyer,short,50,1,1,0.7327912999999171
S001,mullerlyer,short,50,1,1,0.5032248000006803
S001,mullerlyer,short,50,1,1,0.4668126000005941
S001,mullerlyer,short,50,1,1,0.49253200000021025
S001,mullerlyer,short,50,1,1,0.727220199999465
S001,mullerlyer,short,50,1,1,0.6163444000003437
S001,mullerlyer,short,50,1,1,0.6588799000001018
S001,mullerlyer,short,50,0,0,0.6221191999993607
S001,mullerlyer,short,50,0,1,0.600353300000279
S001,mullerlyer,short,50,0,0,1.4043366000005335
S001,mullerlyer,short,50,1,0,1.1695277999997415
S001,mullerlyer,short,50,0,0,0.5848206000000573
S001,mullerlyer,short,50,1,0,0.7876526000000013
S001,mullerlyer,short,50,0,0,0.6506825999995272
S001,mullerlyer,short,50,0,0,0.6658459000000221
S001,mullerlyer,short,50,1,1,0.7161686999997983
S001,mullerlyer,short,50,1,1,0.4775392000001375
S001,mullerlyer,short,50,0,1,0.35992309999983263
S001,mullerlyer,short,50,1,1,0.6283533000005264
S001,mullerlyer,short,50,1,1,0.47357759999977134
S001,mullerlyer,short,50,1,1,0.7973435999992944
S001,mullerlyer,short,50,1,1,0.5133501000000251
S001,mullerlyer,short,50,1,1,0.9414934000005816
S001,mullerlyer,short,50,0,0,0.6778798000004826
S001,mullerlyer,short,50,1,1,0.734434500000134
S001,mullerlyer,short,50,1,1,0.8163792000004833
S001,mullerlyer,short,50,1,1,0.5550055999992765
S001,mullerlyer,short,50,1,1,1.0432502000003296
S001,mullerlyer,short,50,1,1,0.5921509999998307
S001,mullerlyer,short,50,1,0,0.5747489999994286
S001,mullerlyer,short,50,0,0,1.0662453000004462
S001,mullerlyer,short,50,0,0,1.0276106000001164
S001,mullerlyer,short,50,0,0,1.4401121999999305
S001,mullerlyer,short,50,1,1,1.4511116000003312
S001,mullerlyer,short,50,1,1,0.7345908999996027
S001,mullerlyer,short,50,1,1,0.7496437999998307
S001,mullerlyer,short,50,1,1,0.6242737000002307
S001,mullerlyer,short,50,0,1,0.9185403999999836
S001,mullerlyer,short,50,0,1,0.7829191999999239
S001,mullerlyer,short,50,0,1,0.7484711999995852
S001,mullerlyer,short,50,1,1,0.7913386000000173
S001,mullerlyer,short,50,1,1,0.593742399999428
S001,mullerlyer,short,50,0,0,1.1600829999997586
S001,mullerlyer,short,50,0,0,0.5291895999998815
S001,mullerlyer,short,50,1,1,0.526685499999985
S001,mullerlyer,short,50,0,0,1.6913643999996566
S001,mullerlyer,short,50,0,0,0.8934855999996216
