subj_idx,bias_source,bias_direction,stim,response,rt
S002,baserate,short,1,1,2.9279000016181
S002,baserate,short,0,0,3.34405000108659
S002,baserate,short,0,0,1.26591999993043
S002,baserate,short,1,1,2.88237499959426
S002,baserate,short,0,0,2.27141500090463
S002,baserate,short,0,0,3.28930499931395
S002,baserate,short,0,0,1.82981500067098
S002,baserate,short,1,1,2.26803500057459
S002,baserate,short,0,0,2.73427000063317
S002,baserate,short,0,0,4.43273500133872
S002,baserate,short,0,0,1.26697500061793
S002,baserate,short,0,0,1.65140000011904
S002,baserate,short,0,0,2.09232500209494
S002,baserate,short,0,0,1.23364000048935
S002,baserate,short,1,1,3.53267499979079
S002,baserate,short,0,0,2.36016000055595
S002,baserate,short,0,0,2.0669500013062
S002,baserate,short,0,0,2.08909500065847
S002,baserate,short,0,0,2.32876499943793
S002,baserate,short,1,0,4.84194000047565
S002,baserate,short,1,0,2.54614499925315
S002,baserate,short,0,0,2.12177499919295
S002,baserate,short,0,0,1.37270000005245
S002,baserate,short,1,0,2.60000999871194
S002,baserate,short,0,0,2.91243500051005
S002,baserate,short,0,0,2.24822500006692
S002,baserate,short,0,0,1.58215500030773
S002,baserate,short,0,0,2.41486999940753
S002,baserate,short,1,0,2.33486000039995
S002,baserate,short,1,0,4.63407999792831
S002,baserate,short,1,1,2.68327000021994
S002,baserate,short,0,0,4.83721499929845
S002,baserate,short,0,0,2.64546000064714
S002,baserate,short,0,0,2.55999999882417
S002,baserate,short,0,0,1.53712500028789
S002,baserate,short,0,0,1.77950499952495
S002,baserate,short,0,0,0.884215001348687
S002,baserate,short,1,0,2.47088000033319
S002,baserate,short,0,0,2.7773800008595
S002,baserate,short,0,0,1.05318500077887
S002,baserate,short,0,0,1.39996000031932
S002,baserate,short,0,0,1.43026500155807
S002,baserate,short,0,0,1.19601499824226
S002,baserate,short,0,0,4.10614500044823
S002,baserate,short,0,0,1.33412499903815
S002,baserate,short,0,0,1.50516500097437
S002,baserate,short,0,0,1.06599000060976
S002,baserate,short,1,0,2.6495600002517
S002,baserate,short,0,0,4.10002000223501
S002,baserate,short,0,0,1.94865499958558
S002,baserate,short,0,0,2.4045199992466
S002,baserate,short,0,0,1.85198499969439
S002,baserate,short,0,0,2.48719500041842
S002,baserate,short,0,0,3.73012500115156
S002,baserate,short,0,0,0.890834999816418
S002,baserate,short,0,0,1.69231000186725
S002,baserate,short,0,0,1.30096999930263
S002,baserate,short,0,0,1.82437999888317
S002,baserate,short,0,0,0.979499999728203
S002,baserate,short,0,0,1.25012499982579
S002,baserate,short,0,0,1.56731000189228
S002,baserate,short,0,0,1.17408500011845
S002,baserate,short,0,0,2.24878999959426
S002,baserate,short,0,0,1.2692500002557
S002,baserate,short,1,1,2.55655500111325
S002,baserate,short,0,0,1.91072499763982
S002,baserate,short,0,0,2.69957999886291
S002,baserate,short,0,0,2.14625499814348
S002,baserate,short,0,0,1.52373000081225
S002,baserate,short,0,0,0.9498249995728
S002,baserate,short,0,0,1.67099999999285
S002,baserate,short,0,0,1.13509999948187
S002,baserate,short,0,0,1.26161999972105
S002,baserate,short,0,0,1.87039500131352
S002,baserate,short,0,0,2.41267500062168
S002,baserate,short,0,0,1.88744000009077
S002,baserate,short,0,0,2.26884500083251
S002,baserate,short,0,0,2.93125500190821
S002,baserate,short,0,0,3.84619500109136
S002,baserate,short,0,0,1.18285000184758
S002,baserate,short,0,0,2.13702499865668
S002,baserate,short,1,0,2.10251500131948
S002,baserate,short,0,0,2.37203999990447
S002,baserate,short,0,0,2.24435999776099
S002,baserate,short,1,1,2.7887900003469
S002,baserate,short,0,0,4.06477499945922
S002,baserate,short,0,0,2.08117500116391
S002,baserate,short,0,0,2.19648999927895
S002,baserate,short,0,0,3.43282499874532
S002,baserate,short,0,0,4.98483000152333
S002,baserate,short,0,0,1.80116000242336
S002,baserate,short,0,0,2.83537499983831
S002,baserate,short,1,1,4.05127499997616
S002,baserate,short,0,0,2.55022999991102
S002,baserate,short,1,1,3.36942500097437
S002,baserate,short,0,0,2.38670000109119
S002,baserate,short,0,0,1.29226999877572
S002,baserate,short,1,1,2.42890999808626
S002,baserate,short,1,0,4.17620500011802
S002,baserate,short,0,0,3.55016499939485
S002,baserate,short,1,1,2.8322800005883
S002,baserate,short,0,0,5.24880500118358
S002,baserate,short,0,0,1.99682999936657
S002,baserate,short,0,0,2.47983500019328
S002,baserate,short,1,0,1.38142000169976
S002,baserate,short,1,1,3.5962649990195
S002,baserate,short,1,1,3.82278500101209
S002,baserate,short,0,0,4.13266000194354
S002,baserate,short,0,0,2.5916499995786
S002,baserate,short,1,0,3.51714999828951
S002,baserate,short,1,1,4.16661999940753
S002,baserate,short,0,0,3.18377500006974
