participant,bias_source,bias_direction,rep,d,ccrit
71,payoff,long,-38.56,3.9670488504765684,0.23283835398611474
71,payoff,short,-12.84,4.1485748710226575,-0.14207534371306985
72,payoff,long,-11.16,2.01838079677633,-1.4702764869134994
72,payoff,short,-15.133333333333333,1.2487056805215744,-0.2658940470095934
73,baserate,long,-48.266666666666666,1.7416508212495576,0.23718540984507785
73,baserate,short,-42.36,2.727867079108126,0.2559227190842063
74,mullerlyer,long,9.36,1.29953332360417,0.2913078685508912
74,mullerlyer,short,-24.84,0.9620456106160868,-0.8394815985592372
76,baserate,long,-0.8533333333333334,1.4667049503673675,1.0693906155555069
76,baserate,short,-11.093333333333334,1.2655412644678035,0.26666427543333204
77,payoff,long,-2.5866666666666664,1.8258254923811315,0.40759165767671446
77,payoff,short,1.5733333333333333,2.207388508884112,-0.3973916916019686
78,baserate,long,-26.52,0.44573172650940485,1.1223007709219361
78,baserate,short,9.1466666666666665,1.2955691124841695,-1.452380936602385
79,payoff,long,2.76,2.5923073048250838,-0.45453241883962753
79,payoff,short,-5.066666666666666,2.3335275785233858,-0.5839222819904766
80,baserate,long,-41.16,2.0890434870551995,0.48959880082494617
80,baserate,short,-22.573333333333334,2.083564010095448,0.5780742535905451
81,payoff,long,-10.026666666666667,1.1780482140621988,0.9120618390129253
81,payoff,short,-17.653333333333332,0.9620456106160868,-0.8394815985592372
82,payoff,long,-21.906666666666666,1.2698159397107878,0.415929304027834
82,payoff,short,-27.2,0.9182444387728085,-1.0419637266576205
83,mullerlyer,long,57.24,1.6336787811544435,-0.23399788330600563
83,mullerlyer,short,17.44,1.931813245339482,0.5351793233742836
84,mullerlyer,long,8.28,2.5620154182057795,1.1984591761987768
84,mullerlyer,short,-35.733333333333334,3.1144443406963274,0.056136224304139004
85,mullerlyer,long,8.506666666666666,1.0949683367087142,0.2941370652185573
85,mullerlyer,short,-19.16,1.372795176950743,0.06347186526528364
86,mullerlyer,long,-11.626666666666667,1.5051071487376082,-0.3582180422679815
86,mullerlyer,short,-67.88,1.7121505858859218,-0.38837649382845263
87,baserate,long,-15.88,0.9422054540381508,-0.245394773158916
87,baserate,short,-9.773333333333333,0.8068655376060139,-0.13643864339805434
88,payoff,long,-7.586666666666667,4.538681495173334,-0.21012613771499744
88,payoff,short,-13.466666666666667,2.7216838677382498,-0.8555208453552736
89,mullerlyer,long,6.053333333333334,1.839023735160445,0.2554749244858674
89,mullerlyer,short,-31.08,1.7979125152761777,0.2760305344280011
90,payoff,long,-14.746666666666666,0.9493214515579476,-1.1386976688733288
90,payoff,short,-25.76,1.0675489068819761,-0.5170628204422394
91,payoff,long,-10.72,1.022495736345549,-0.1527890749215807
91,payoff,short,-3.08,1.3987891292004258,-0.4113770520365727
92,baserate,long,-22.093333333333334,0.4082882617003634,0.13813231847434096
92,baserate,short,-30.186666666666667,1.0678462242314406,-0.1978849717438973
93,baserate,long,15.506666666666666,1.5892175387201326,0.1609687685803653
93,baserate,short,18.12,1.627831916196191,-0.4778778177262724
94,payoff,long,18.08,1.8323370604798626,-0.6971898644123714
94,payoff,short,30.573333333333334,2.326547623899081,-0.7689382798487178
95,baserate,long,-32.25333333333333,0.6285051671389066,0.7937582369004034
95,baserate,short,-26.84,1.9000895768792923,-0.39512184573699255
96,baserate,long,-38.49333333333333,1.424106628100539,0.5797404617740983
96,baserate,short,-27.333333333333332,1.2225716633453843,-0.3442917062677396
97,payoff,long,-29,1.5012111707722733,-0.044303022546049065
97,payoff,short,-23.333333333333332,1.6520551615408021,-0.6750583652736236
98,baserate,long,-11.066666666666666,1.501829929981926,-0.6612726139152005
98,baserate,short,-10.946666666666667,2.1294871808468483,-0.8655422656341571
99,baserate,long,-3.3466666666666667,2.1413016995105543,0.17121594208804342
99,baserate,short,-6.1466666666666665,2.7752913111392354,-0.9809214036982542
100,payoff,long,6.613333333333333,2.29599455397621,0.3530886690559195
100,payoff,short,17.773333333333333,2.026806966707368,-0.30710092051359655
101,baserate,long,-9.906666666666666,1.1637345577580762,-0.5370911021835217
101,baserate,short,-4.12,1.2667718486674087,-0.43418459954443733
103,baserate,long,8.613333333333333,0.9088094956805897,0.6536060726295618
103,baserate,short,2.1866666666666665,0.42023314869373385,0.3448063683557866
104,payoff,long,-4.44,2.554432925005279,-0.33614193214966326
104,payoff,short,11.533333333333333,1.6930890728732724,-0.558527023872996
105,baserate,long,-11.813333333333333,1.4507802027266312,1.2048957546942656
105,baserate,short,-18.986666666666668,1.240323672746028,-0.4878489840968427
106,baserate,long,-0.30666666666666664,3.609805687351694,-0.4267029915850762
106,baserate,short,-6.92,3.2191238739070296,-0.49060355589095495
107,baserate,long,-7.266666666666667,1.0826038569785612,-0.17519557168871086
107,baserate,short,-2.1066666666666665,0.7548337067427047,-0.5097297056475235
108,payoff,long,11.88,1.757828299337306,0.29607264239743686
108,payoff,short,17.773333333333333,1.6085219164309208,-0.5162434456518202
109,mullerlyer,long,0.9066666666666666,1.499778971723604,-0.24456839734795077
109,mullerlyer,short,-33.78666666666667,1.2032603613293071,-0.7188742232026271
110,payoff,long,-4.586666666666667,0.6201099745877705,0.7407822865893426
110,payoff,short,-0.12,1.0107360282088096,-0.8997035462052274
111,baserate,long,-25.906666666666666,2.687426782516411,-0.2761428673800641
111,baserate,short,-24.866666666666667,2.52019839937602,0.15208837921815344
113,mullerlyer,long,-32.42666666666667,0.6142018410271927,1.0134034833536838
113,mullerlyer,short,-41.88,1.4283338952018898,0.46081984446514507
114,payoff,long,-9.64,1.910392648823484,0.4498752358978907
114,payoff,short,-20.493333333333332,2.162125637440195,-0.2394415851471831
115,payoff,long,-27.16,1.9248562458067449,0.21255866916271743
115,payoff,short,-21.826666666666668,1.7882032029817883,0.42640280237638606
116,baserate,long,-10.786666666666667,2.100165492844468,1.050082746422234
116,baserate,short,-19.773333333333333,1.6035417659499231,-1.0009722077642285
117,mullerlyer,long,-8.706666666666667,2.6078162778620557,0.30945025572127494
117,mullerlyer,short,-24.12,2.7883451867183924,-0.21918580129310639
118,baserate,long,1.88,2.357666033441844,0.6239100740182686
118,baserate,short,-15.706666666666667,2.203826186649538,0.3102744855813945
119,baserate,long,14.92,1.6590437790562895,0.02492550916784464
119,baserate,short,25.733333333333334,1.2225716633453843,-0.3442917062677396
120,baserate,long,0.6533333333333333,1.394058448865057,0.49782789964326146
120,baserate,short,5.053333333333334,1.2916156783122548,-0.3097696987843044
121,mullerlyer,long,-0.6533333333333333,3.433298037842283,-0.21556307287711673
121,mullerlyer,short,-13.12,2.8732866221512343,-0.495568780722641
122,payoff,long,-22.586666666666666,1.473088394541597,-0.1537026899995822
122,payoff,short,-32.18666666666667,1.6051114734473315,-0.13851879362931047
123,mullerlyer,long,19.213333333333335,1.4339196675692008,0.17328705348578022
123,mullerlyer,short,-12.626666666666667,1.7306024371902762,-0.7480571760571646
124,mullerlyer,long,-5.44,0.5143790332025864,0.17353778269416414
124,mullerlyer,short,-18.186666666666667,0.7285398079182628,-0.17940287633968874
126,baserate,long,-26.333333333333332,2.410752156886928,0.08641769738090399
126,baserate,short,-28.8,3.9601475677116347,-0.6377381037785563
127,baserate,long,-40.04,2.0082912760023595,0.2876481378231882
127,baserate,short,-35.49333333333333,1.05313582864455,-0.39425506204610367
128,baserate,long,-0.92,1.2916156783122545,0.3097696987843042
128,baserate,short,-1.2533333333333334,1.8012719330573455,-0.5645978261568496
129,mullerlyer,long,-2.8,1.5784704157512937,0.32153640876113876
